Abundance,Reference,Sampling_effort,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
0,Cameron et al. 2011,60,Bombus impatiens,208,88,34,6031,326,68,258,277,167,280,125,1201,180,59,30,413,207,357,260
0,Cameron et al. 2011,60,Bombus bifarius,68,118,26,11579,285,-168,453,209,-91,209,-91,739,109,19,51,311,63,311,63
1,Cameron et al. 2011,60,Bombus impatiens,68,118,26,11579,285,-168,453,209,-91,209,-91,739,109,19,51,311,63,311,63
0,Cameron et al. 2011,60,Bombus bifarius,137,121,34,8050,312,-41,353,134,31,239,31,1218,148,61,22,377,219,295,219
65,Cameron et al. 2011,60,Bombus impatiens,137,121,34,8050,312,-41,353,134,31,239,31,1218,148,61,22,377,219,295,219
0,Cameron et al. 2011,60,Bombus bifarius,128,126,33,8768,312,-67,379,176,10,237,10,1110,124,46,25,350,177,301,177
0,Cameron et al. 2011,60,Bombus impatiens,128,126,33,8768,312,-67,379,176,10,237,10,1110,124,46,25,350,177,301,177
0,Cameron et al. 2011,60,Bombus bifarius,182,122,38,7241,339,21,318,222,237,273,88,1187,126,68,15,341,236,263,315
0,Cameron et al. 2011,60,Bombus impatiens,182,122,38,7241,339,21,318,222,237,273,88,1187,126,68,15,341,236,263,315
0,Cameron et al. 2011,60,Bombus bifarius,129,126,33,8797,313,-66,379,177,10,238,10,1098,121,46,25,345,177,298,177
1,Cameron et al. 2011,60,Bombus impatiens,129,126,33,8797,313,-66,379,177,10,238,10,1098,121,46,25,345,177,298,177
0,Cameron et al. 2011,60,Bombus bifarius,119,121,30,9628,314,-83,397,216,-12,238,-12,983,119,39,28,324,145,292,145
1,Cameron et al. 2011,60,Bombus impatiens,119,121,30,9628,314,-83,397,216,-12,238,-12,983,119,39,28,324,145,292,145
0,Cameron et al. 2011,60,Bombus bifarius,30,117,25,11601,250,-210,460,171,-129,171,-129,712,101,19,48,287,75,287,75
0,Cameron et al. 2011,60,Bombus impatiens,30,117,25,11601,250,-210,460,171,-129,171,-129,712,101,19,48,287,75,287,75
0,Cameron et al. 2011,60,Bombus bifarius,73,118,26,11182,287,-157,444,196,-81,209,-81,821,105,22,46,313,77,312,77
21,Cameron et al. 2011,60,Bombus impatiens,73,118,26,11182,287,-157,444,196,-81,209,-81,821,105,22,46,313,77,312,77
0,Cameron et al. 2011,60,Bombus bifarius,66,124,27,11080,284,-163,447,188,-87,201,-87,826,107,23,45,317,80,309,80
27,Cameron et al. 2011,60,Bombus impatiens,66,124,27,11080,284,-163,447,188,-87,201,-87,826,107,23,45,317,80,309,80
0,Cameron et al. 2011,60,Bombus bifarius,110,119,29,10078,309,-97,406,214,-28,233,-28,943,103,39,26,300,145,287,145
4,Cameron et al. 2011,60,Bombus impatiens,110,119,29,10078,309,-97,406,214,-28,233,-28,943,103,39,26,300,145,287,145
0,Cameron et al. 2011,60,Bombus bifarius,109,117,29,10111,306,-97,403,213,-30,232,-30,936,101,40,26,297,146,285,146
6,Cameron et al. 2011,60,Bombus impatiens,109,117,29,10111,306,-97,403,213,-30,232,-30,936,101,40,26,297,146,285,146
0,Cameron et al. 2011,60,Bombus bifarius,109,117,29,10111,306,-97,403,213,-30,232,-30,936,101,40,26,297,146,285,146
1,Cameron et al. 2011,60,Bombus impatiens,109,117,29,10111,306,-97,403,213,-30,232,-30,936,101,40,26,297,146,285,146
0,Cameron et al. 2011,60,Bombus bifarius,109,117,29,10111,306,-97,403,213,-30,232,-30,936,101,40,26,297,146,285,146
26,Cameron et al. 2011,60,Bombus impatiens,109,117,29,10111,306,-97,403,213,-30,232,-30,936,101,40,26,297,146,285,146
0,Cameron et al. 2011,60,Bombus bifarius,69,123,28,10764,280,-155,435,188,-79,201,-79,815,103,25,42,302,86,297,86
4,Cameron et al. 2011,60,Bombus impatiens,69,123,28,10764,280,-155,435,188,-79,201,-79,815,103,25,42,302,86,297,86
0,Cameron et al. 2011,60,Bombus bifarius,69,123,28,10764,280,-155,435,188,-79,201,-79,815,103,25,42,302,86,297,86
35,Cameron et al. 2011,60,Bombus impatiens,69,123,28,10764,280,-155,435,188,-79,201,-79,815,103,25,42,302,86,297,86
